number,priority,category,assignment_group,updated_by
INC0426125,0,Failure,AIS CSI,system
INC0433861,0,Failure,AIS CSI,system
INC0414354,1,Failure,AIS CSI,system
INC0420473,0,Failure,AIS CSI,system
INC0447648,1,Failure,AIS CSI,system
INC0461124,1,Service,AIS CSI,MAY09753
INC0408964,1,Failure,AIS CSI,system
INC0428535,1,Service,AIS CSI,system
INC0435913,1,Failure,AIS CSI,system
INC0406178,1,Service,AIS CSI,system
INC0410305,1,Service,AIS CSI,system
INC0418611,0,Failure,AIS CSI,system
INC0451227,1,Service,AIS CSI,system
INC0402652,1,Failure,AIS CSI,system
INC0427224,1,Failure,AIS CSI,system
INC0418623,0,Failure,AIS CSI,system
INC0420508,0,Failure,AIS CSI,system
INC0392908,1,Failure,AIS CSI,system
INC0420997,1,Service,AIS CSI,system
INC0414332,1,Service,AIS CSI,system
INC0421272,1,Failure,AIS CSI,system
INC0396801,1,Failure,AIS CSI,system
INC0439514,1,Change/Enhancements,AIS CSI,system
INC0426335,0,Service,AIS CSI,system
INC0418625,0,Failure,AIS CSI,system
INC0407424,1,Service,AIS CSI,system
INC0431279,1,Business Application,AIS CSI,system
INC0397747,1,Service,AIS DBA,system
INC0392456,1,Service,AIS DBA ORACLE,system
INC0422423,1,Failure,AIS DBA ORACLE,system
INC0412186,0,Service,AIS DBA ORACLE,system
INC0404760,1,Failure,AIS DBA ORACLE,system
INC0424725,1,Failure,AIS DBA ORACLE,system
INC0391492,1,Service,AIS DBA ORACLE,system
INC0443098,1,Failure,AIS DBA ORACLE,system
INC0430033,1,Service,AIS DBA ORACLE,system
INC0434632,1,Service,AIS DBA ORACLE,system
INC0422913,1,Failure,AIS DBA ORACLE,system
INC0452392,1,Service,AIS DBA ORACLE,system
INC0443875,1,Failure,AIS DBA ORACLE,system
INC0412873,1,Service,AIS DBA ORACLE,system
INC0440222,0,Failure,AIS DBA ORACLE,system
INC0436823,0,Service,AIS DBA ORACLE,system
INC0444427,0,Failure,AIS DBA ORACLE,system
INC0449235,1,Failure,AIS DBA SQL SERVER,system
INC0429883,1,Failure,AIS DBA SQL SERVER,system
INC0452530,1,Service,AIS DBA SQL SERVER,system
INC0415786,1,Business Application,AIS DBA SQL SERVER,CarlaCr
INC0431392,1,Service,AIS DBA SQL SERVER,system
INC0417725,0,Failure,AIS DBA SQL SERVER,MichaelMes
INC0440952,1,Failure,AIS DBA SQL SERVER,system
INC0401244,0,Failure,AIS DBA SQL SERVER,system
INC0442747,1,Service,AIS DBA SQL SERVER,system
INC0404365,1,Failure,AIS DBA SQL SERVER,system
INC0415635,0,Failure,AIS DBA SQL SERVER,system
INC0446201,1,Failure,AIS DBA SQL SERVER,system
INC0444138,0,Failure,AIS DBA SQL SERVER,MichaelMes
INC0429809,1,Service,AIS DS,ERI300909
INC0445068,1,Failure,AIS DS,system
INC0426289,0,Service,AIS DS,system
INC0419768,0,Failure,AIS DS,system
INC0396567,1,Failure,AIS LOB Engineering,system
INC0401287,1,Service,AIS LOB Engineering,system
INC0397459,1,Failure,AIS LOB Engineering,system
INC0396487,1,Failure,AIS LOB Engineering,system
INC0395629,1,Service,AIS LOB Engineering,system
INC0410763,1,Service,Artificial Intelligence Sustainment Development,system
INC0410761,1,Service,Artificial Intelligence Sustainment Development,system
INC0431512,1,Failure,Bethesda Support,system
INC0438223,1,Failure,Bethesda Support,system
INC0461633,1,Failure,Bethesda Support,ROB25465
INC0420154,1,Failure,Bethesda Support,system
INC0418176,1,Failure,Bethesda Support,system
INC0428274,0,Failure,Bethesda Support,system
INC0460930,1,Failure,Bethesda Support,CAR26227
INC0396583,1,Business Application,Bethesda Support,system
INC0420025,1,Failure,Bethesda Support,system
INC0452597,1,Failure,Bethesda Support,system
INC0456659,1,Failure,Bethesda Support,MAX09592
INC0442040,1,Business Application,Bethesda Support,system
INC0456433,1,Failure,Bethesda Support,system
INC0435623,0,Failure,Bethesda Support,system
INC0408702,1,Failure,Bethesda Support,system
INC0460495,1,Failure,Bethesda Support,BericeM
INC0431151,1,Failure,Bethesda Support,system
INC0432844,1,Failure,Bethesda Support,system
INC0400329,1,Failure,Bethesda Support,system
INC0392118,1,Failure,Bethesda Support,system
INC0455514,1,Failure,Bethesda Support,system
INC0428363,1,Failure,Bethesda Support,system
INC0395308,1,Failure,Bethesda Support,system
INC0443859,1,Failure,Bethesda Support,system
INC0427156,1,Failure,Bethesda Support,system
INC0447526,1,Failure,Bethesda Support,system
INC0455249,1,Business Application,Bethesda Support,CAR21056
INC0408783,0,Service,Bethesda Support,system
INC0459964,1,Failure,Bethesda Support,JAS19903
INC0443915,1,Failure,Bethesda Support,system
INC0440267,1,Failure,Bethesda Support,system
INC0420691,0,Service,Bethesda Support,system
INC0405126,1,Failure,Bethesda Support,system
INC0461592,1,Failure,Bethesda Support,CAR26227
INC0449302,1,Failure,Bethesda Support,system
INC0417779,1,Failure,Bethesda Support,system
INC0423085,1,Failure,Bethesda Support,system
INC0434435,1,Business Application,Bethesda Support,system
INC0445191,1,Failure,Bethesda Support,system
INC0417400,1,Failure,Bethesda Support,system
INC0444536,1,Failure,Bethesda Support,system
INC0462451,1,Failure,Bethesda Support,DEA17617
INC0442974,1,Failure,Bethesda Support,system
INC0426340,1,Failure,Bethesda Support,system
INC0461126,1,Failure,Bethesda Support,MAR13389
INC0419031,1,Failure,Bethesda Support,system
INC0449026,1,Failure,Bethesda Support,system
INC0429215,1,Failure,Bethesda Support,system
INC0436383,1,Failure,Bethesda Support,system
INC0439582,1,Failure,Bethesda Support,system
INC0406415,1,Business Application,Bethesda Support,system
INC0451417,0,Failure,Bethesda Support,system
INC0432542,1,Failure,Bethesda Support,system
INC0457679,1,Failure,Bethesda Support,system
INC0420214,0,Failure,Bethesda Support,system
INC0435558,0,Failure,Bethesda Support,system
INC0417660,1,Failure,Bethesda Support,system
INC0395782,1,Failure,Bethesda Support,system
INC0423360,1,Failure,Bethesda Support,system
INC0435649,1,Failure,Bethesda Support,system
INC0420238,1,Failure,Bethesda Support,system
INC0394839,0,Failure,Bethesda Support,system
INC0403711,1,Failure,Bethesda Support,system
INC0397347,1,Failure,Bethesda Support,system
INC0432276,1,Failure,Bethesda Support,system
INC0461415,1,Failure,Bethesda Support,MAX09592
INC0419814,1,Failure,Bethesda Support,system
INC0394935,1,Failure,Bethesda Support,system
INC0450137,1,Hardware,Bethesda Support,system
INC0404783,1,Service,Bethesda Support,system
INC0430248,1,Failure,Bethesda Support,system
INC0440303,1,Service,Bethesda Support,system
INC0446959,1,Service,Bethesda Support,system
INC0412968,1,Failure,Bethesda Support,system
INC0451468,1,Business Application,Bethesda Support,system
INC0417666,1,Failure,Bethesda Support,system
INC0397410,1,Failure,Bethesda Support,system
INC0426045,1,Service,Bethesda Support,system
INC0452747,1,Failure,Bethesda Support,system
INC0405835,1,Hardware,Bethesda Support,system
INC0452167,1,Business Application,Bethesda Support,system
INC0432450,1,Failure,Bethesda Support,system
INC0434160,1,Failure,Bethesda Support,system
INC0457898,1,Failure,Bethesda Support,system
INC0397356,1,Failure,Bethesda Support,system
INC0442349,1,Failure,Bethesda Support,system
INC0410527,0,Failure,Bethesda Support,system
INC0463023,1,Failure,Bethesda Support,MAR13389
INC0449549,1,Failure,Bethesda Support,system
INC0449495,1,Failure,Bethesda Support,system
INC0440503,1,Failure,Bethesda Support,system
INC0428648,1,Failure,Bethesda Support,system
INC0441472,1,Failure,Bethesda Support,system
INC0397348,0,Failure,Bethesda Support,system
INC0402153,1,Failure,Bethesda Support,system
INC0402729,1,Failure,Bethesda Support,system
INC0434420,1,Failure,Bethesda Support,system
INC0404637,1,Failure,Bethesda Support,system
INC0428320,1,Failure,Bethesda Support,system
INC0396060,1,Failure,Bethesda Support,system
INC0401176,1,Failure,Bethesda Support,system
INC0449405,1,Failure,Bethesda Support,system
INC0399396,0,Failure,Bethesda Support,system
INC0440904,1,Failure,Bethesda Support,system
INC0393199,1,Failure,Bethesda Support,system
INC0448406,0,Failure,Bethesda Support,system
INC0450313,1,Failure,Bethesda Support,system
INC0401737,1,Failure,Bethesda Support,system
INC0442745,1,Failure,Bethesda Support,system
INC0451558,1,Failure,Bethesda Support,system
INC0417767,1,Failure,Bethesda Support,system
INC0424343,1,Service,Bethesda Support,system
INC0441710,1,Business Application,Bethesda Support,system
INC0392817,1,Business Application,Bethesda Support,BET07800
INC0441566,1,Failure,Bethesda Support,system
INC0433560,1,Failure,Bethesda Support,system
INC0435704,1,Failure,Bethesda Support,system
INC0420236,1,Failure,Bethesda Support,system
INC0409020,1,Failure,Bethesda Support,system
INC0402867,0,Service,Bethesda Support,system
INC0459080,1,Failure,Bethesda Support,ROB25465
INC0462684,1,Failure,Bethesda Support,CAR21056
INC0413077,1,Failure,Bethesda Support,system
INC0397638,1,Failure,Bethesda Support,system
INC0459798,1,Failure,Bethesda Support,JAS19903
INC0392252,1,Failure,Bethesda Support,system
INC0415627,1,Failure,Bethesda Support,system
INC0460340,1,Failure,Bethesda Support,MAX09592
INC0403659,1,Failure,Bethesda Support,system
INC0461161,1,Hardware,Bethesda Support,CAR26227
INC0461634,1,Service,Bethesda Support,ROB25465
INC0428096,1,Failure,Bethesda Support,system
INC0418298,1,Failure,Bethesda Support,system
INC0436128,1,Failure,Bethesda Support,system
INC0393668,1,Business Application,Bethesda Support,system
INC0448561,1,Failure,Bethesda Support,system
INC0406126,1,Failure,Bethesda Support,system
INC0462654,1,Failure,Bethesda Support,MAR23058
INC0399158,1,Failure,Bethesda Support,system
INC0440854,1,Failure,Bethesda Support,system
INC0451396,1,Failure,Bethesda Support,system
INC0425352,1,Failure,Bethesda Support,system
INC0403350,1,Failure,Bethesda Support,system
INC0443188,1,Failure,Bethesda Support,system
INC0444665,1,Failure,Bethesda Support,system
INC0404002,1,Service,Bethesda Support,system
INC0423490,1,Failure,Bethesda Support,system
INC0433911,1,Failure,Bethesda Support,system
INC0420337,1,Failure,Bethesda Support,system
INC0438097,1,Failure,Bethesda Support,system
INC0445336,0,Failure,Bethesda Support,system
INC0460738,1,Failure,Bethesda Support,SAL29508
INC0429099,1,Failure,Bethesda Support,system
INC0458413,0,Failure,Bethesda Support,KEL11365
INC0422897,1,Failure,Bethesda Support,system
INC0426559,1,Failure,Bethesda Support,system
INC0402850,1,Failure,Bethesda Support,system
INC0411223,1,Failure,Bethesda Support,system
INC0438800,1,Failure,Bethesda Support,system
INC0442629,1,Failure,Bethesda Support,system
INC0399012,1,Failure,Bethesda Support,system
INC0401735,0,Failure,Bethesda Support,system
INC0399938,1,Failure,Bethesda Support,system
INC0460920,1,Failure,Bethesda Support,KEL11365
INC0452283,1,Service,Bethesda Support,system
INC0415189,0,Failure,Bethesda Support,system
INC0397519,1,Business Application,Bethesda Support,system
INC0397488,1,Business Application,Bethesda Support,system
INC0424408,1,Failure,Bethesda Support,system
INC0437201,1,Failure,Bethesda Support,system
INC0433827,0,Failure,Bethesda Support,system
INC0443504,1,Failure,Bethesda Support,system
INC0403154,1,Business Application,Bethesda Support,system
INC0434321,1,Business Application,Bethesda Support,system
INC0446889,1,Failure,Bethesda Support,system
INC0392343,1,Failure,Bethesda Support,system
INC0411756,1,Failure,Bethesda Support,system
INC0429949,1,Failure,Bethesda Support,system
INC0426379,1,Failure,Bethesda Support,system
INC0433127,1,Failure,Bethesda Support,system
INC0444030,1,Failure,Bethesda Support,system
INC0447333,1,Failure,Bethesda Support,system
INC0408634,1,Failure,Bethesda Support,system
INC0448740,1,Service,Bethesda Support,system
INC0397748,1,Hardware,Bethesda Support,system
INC0417928,1,Failure,Bethesda Support,system
INC0431649,1,Failure,Bethesda Support,system
INC0462062,1,Failure,Bethesda Support,KEL11365
INC0432964,1,Failure,Bethesda Support,system
INC0437872,1,Failure,Bethesda Support,system
INC0432768,1,Failure,Bethesda Support,system
INC0439356,1,Failure,Bethesda Support,system
INC0391561,1,Failure,Bethesda Support,system
INC0463241,1,Business Application,Bethesda Support,SAL29508
INC0392666,1,Business Application,Bethesda Support,system
INC0440913,1,Failure,Bethesda Support,system
INC0425664,1,Failure,Bethesda Support,system
INC0394929,1,Business Application,Bethesda Support,system
INC0442933,1,Failure,Bethesda Support,system
INC0402347,1,Failure,Bethesda Support,system
INC0425213,1,Failure,Bethesda Support,system
INC0420234,1,Failure,Bethesda Support,system
INC0441225,1,Failure,Bethesda Support,system
INC0395346,1,Service,Bethesda Support,system
INC0441274,0,Service,Bethesda Support,system
INC0420353,1,Business Application,Bethesda Support,system
INC0396313,1,Failure,Bethesda Support,system
INC0438743,1,Failure,Bethesda Support,system
INC0431181,1,Service,Bethesda Support,system
INC0460567,1,Failure,Bethesda Support,LUI025799
INC0416455,1,Failure,Bethesda Support,system
INC0394407,1,Failure,Bethesda Support,system
INC0434727,1,Failure,Bethesda Support,system
INC0408394,1,Service,Bethesda Support,system
INC0430788,1,Failure,Bethesda Support,system
INC0417340,1,Failure,Bethesda Support,system
INC0416082,1,Failure,Bethesda Support,system
INC0457901,1,Failure,Bethesda Support,system
INC0400819,1,Service,Bethesda Support,system
INC0427981,1,Failure,Bethesda Support,system
INC0449489,1,Failure,Bethesda Support,SAL29508
INC0455904,1,Failure,Bethesda Support,system
INC0426046,1,Failure,Bethesda Support,system
INC0408466,1,Failure,Bethesda Support,system
INC0413804,1,Failure,Bethesda Support,system
INC0417160,1,Failure,Bethesda Support,system
INC0443761,1,Failure,Bethesda Support,system
INC0430636,1,Failure,Bethesda Support,system
INC0413678,1,Business Application,Bethesda Support,system
INC0397346,1,Failure,Bethesda Support,system
INC0392114,1,Failure,Bethesda Support,system
INC0463995,1,Failure,Bethesda Support,MAR23058
INC0430906,1,Failure,Bethesda Support,system
INC0417364,1,Failure,Bethesda Support,qiutong.hou@capgemini.com
INC0459980,1,Failure,Bethesda Support,SAL29508
INC0461600,0,Service,Bethesda Support,MAR23058
INC0451379,1,Business Application,Bethesda Support,system
INC0433914,1,Failure,Bethesda Support,system
INC0400202,1,Business Application,Bethesda Support,system
INC0404823,0,Failure,Bethesda Support,system
INC0446359,1,Failure,Bethesda Support,system
INC0451841,1,Failure,Bethesda Support,system
INC0432989,1,Service,Bethesda Support,system
INC0402710,1,Failure,Bethesda Support,system
INC0460560,1,Failure,Bethesda Support,SAL29508
INC0451939,1,Failure,Bethesda Support,system
INC0462919,1,Failure,Bethesda Support,SAL29508
INC0433192,1,Failure,Bethesda Support,system
INC0425656,1,Service,Bethesda Support,system
INC0452420,1,Failure,Bethesda Support,system
INC0425436,1,Failure,Bethesda Support,qiutong.hou@capgemini.com
INC0441789,1,Service,Bethesda Support,system
INC0441687,1,Failure,Bethesda Support,system
INC0425086,1,Failure,Bethesda Support,system
INC0435306,1,Failure,Bethesda Support,system
INC0423117,1,Failure,Bethesda Support,system
INC0417841,1,Failure,Bethesda Support,system
INC0432053,1,Failure,Bethesda Support,system
INC0441869,1,Failure,Bethesda Support,system
INC0445091,1,Failure,Bethesda Support,SOP01640
INC0428310,1,Failure,Bethesda Support,system
INC0414063,1,Failure,Bethesda Support,system
INC0428935,1,Failure,Bethesda Support,system
INC0461740,0,Failure,Bethesda Support,MAR23058
INC0442836,1,Failure,Bethesda Support,system
INC0459394,1,Service,Bethesda Support,system
INC0442762,1,Business Application,Bethesda Support,system
INC0413667,1,Business Application,Bethesda Support,system
INC0462419,1,Failure,Bethesda Support,MAR13389
INC0451010,1,Failure,Bethesda Support,system
INC0436078,1,Failure,Bethesda Support,system
INC0420071,1,Failure,Bethesda Support,system
INC0447383,1,Failure,Bethesda Support,system
INC0420112,1,Failure,Bethesda Support,system
INC0441814,1,Business Application,Bethesda Support,system
INC0458706,1,Failure,Bethesda Support,CHR27507
INC0447347,1,Service,Bethesda Support,system
INC0427963,1,Failure,Bethesda Support,system
INC0392471,1,Failure,Bethesda Support,system
INC0395760,1,Failure,Bethesda Support,system
INC0422663,1,Failure,Bethesda Support,system
INC0439083,1,Failure,Bethesda Support,system
INC0436561,1,Failure,Bethesda Support,system
INC0436449,1,Failure,Bethesda Support,system
INC0423169,0,Failure,Bethesda Support,system
INC0441375,1,Business Application,Bethesda Support,system
INC0401223,1,Failure,Bethesda Support,system
INC0434809,0,Failure,Bethesda Support,system
INC0415188,1,Failure,Bethesda Support,system
INC0447166,1,Service,Bethesda Support,system
INC0429068,1,Service,Bethesda Support,system
INC0426104,1,Failure,Bethesda Support,system
INC0416457,1,Failure,Bethesda Support,system
INC0432505,1,Failure,Bethesda Support,system
INC0450361,1,Failure,Bethesda Support,system
INC0429714,1,Failure,Bethesda Support,system
INC0394920,1,Failure,Bethesda Support,system
INC0434536,1,Failure,Bethesda Support,system
INC0456379,1,Service,Bethesda Support,MAX09592
INC0447343,1,Failure,Bethesda Support,system
INC0457859,1,Failure,Bethesda Support,system
INC0437193,1,Failure,Bethesda Support,system
INC0410858,1,Failure,Bethesda Support,system
INC0407383,1,Failure,Bethesda Support,system
INC0430357,0,Failure,Bethesda Support,system
INC0400171,1,Failure,Bethesda Support,system
INC0433784,1,Failure,Bethesda Support,system
INC0449472,1,Failure,Bethesda Support,system
INC0435628,0,Failure,Bethesda Support,system
INC0441271,1,Failure,Bethesda Support,system
INC0407264,1,Hardware,Bethesda Support,system
INC0442883,1,Failure,Bethesda Support,system
INC0408905,1,Failure,Bethesda Support,system
INC0396925,1,Service,Bethesda Support,system
INC0396192,1,Hardware,Bethesda Support,system
INC0445415,1,Service,Bethesda Support,system
INC0436715,1,Failure,Bethesda Support,system
INC0455597,1,Failure,Bethesda Support,system
INC0435358,1,Failure,Bethesda Support,system
INC0429192,1,Failure,Bethesda Support,system
INC0459474,0,Business Application,Bethesda Support,JAS19903
INC0431002,1,Failure,Bethesda Support,system
INC0412104,1,Failure,Bethesda Support,system
INC0429102,1,Failure,Bethesda Support,system
INC0423712,1,Service,Bethesda Support,system
INC0401851,1,Failure,Bethesda Support,system
INC0460693,1,Failure,Bethesda Support,CAR26227
INC0397900,0,Service,Bethesda Support,system
INC0428738,1,Hardware,Bethesda Support,system
INC0395334,1,Service,Bethesda Support,system
INC0446688,1,Business Application,Bethesda Support,system
INC0393288,1,Business Application,Bethesda Support,system
INC0405908,1,Service,Bethesda Support,system
INC0399885,1,Failure,Bethesda Support,system
INC0420282,1,Failure,Bethesda Support,system
INC0461518,1,Failure,Bethesda Support,CAR26227
INC0424980,1,Service,Bethesda Support,system
INC0441711,1,Business Application,Bethesda Support,system
INC0401520,1,Failure,Bethesda Support,system
INC0399329,1,Failure,Bethesda Support,system
INC0397341,1,Failure,Bethesda Support,system
INC0399389,1,Failure,Bethesda Support,system
INC0459414,1,Failure,Bethesda Support,JAS19903
INC0447686,1,Failure,Bethesda Support,system
INC0408607,1,Failure,Bethesda Support,system
INC0402348,1,Failure,Bethesda Support,system
INC0426392,1,Failure,Bethesda Support,system
INC0458927,1,Failure,Bethesda Support,KEL11365
INC0447967,1,Failure,Bethesda Support,system
INC0462945,1,Failure,Bethesda Support,KEL11365
INC0399597,1,Failure,Bethesda Support,system
INC0452285,1,Failure,Bethesda Support,system
INC0416750,1,Failure,Bethesda Support,system
INC0448690,1,Failure,Bethesda Support,system
INC0402603,1,Failure,Bethesda Support,system
INC0402573,1,Failure,Bethesda Support,system
INC0420241,0,Service,Bethesda Support,system
INC0462395,1,Failure,Bethesda Support,CAR26227
INC0432208,1,Failure,Bethesda Support,system
INC0425662,0,Failure,Bethesda Support,system
INC0412253,1,Failure,Bethesda Support,system
INC0402885,1,Failure,Bethesda Support,system
INC0462712,1,Failure,Bethesda Support,MAR23058
INC0421708,1,Failure,Bethesda Support,system
INC0426165,1,Failure,Bethesda Support,system
INC0433512,1,Failure,Bethesda Support,system
INC0455324,1,Failure,Bethesda Support,system
INC0401744,1,Failure,Bethesda Support,system
INC0439041,1,Failure,Bethesda Support,system
INC0428692,1,Failure,Bethesda Support,system
INC0448398,0,Failure,Bethesda Support,system
INC0413535,1,Failure,Bethesda Support,system
INC0413315,1,Failure,Bethesda Support,system
INC0406117,1,Failure,Bethesda Support,system
INC0399813,1,Failure,Bethesda Support,system
INC0460906,1,Failure,Bethesda Support,KEL11365
INC0436735,1,Failure,Bethesda Support,system
INC0435201,1,Failure,Bethesda Support,system
INC0463846,1,Failure,Bethesda Support,SAL29508
INC0450063,1,Failure,Bethesda Support,system
INC0402840,1,Failure,Bethesda Support,system
INC0397329,0,Failure,Bethesda Support,system
INC0402853,0,Failure,Bethesda Support,system
INC0395477,1,Failure,Bethesda Support,system
INC0434258,1,Failure,Bethesda Support,system
INC0458666,1,Failure,Bethesda Support,CAR26227
INC0460603,1,Failure,Bethesda Support,EZR19716
INC0435798,1,Failure,Bethesda Support,system
INC0406762,1,Hardware,Bethesda Support,system
INC0432835,1,Failure,Bethesda Support,system
INC0435757,1,Failure,Bethesda Support,system
INC0429035,1,Failure,Bethesda Support,system
INC0432079,1,Failure,Bethesda Support,system
INC0432474,1,Service,Bethesda Support,system
INC0399407,0,Failure,Bethesda Support,system
INC0457527,1,Failure,Bethesda Support,system
INC0403179,1,Business Application,Bethesda Support,system
INC0444257,1,Failure,Bethesda Support,system
INC0441368,1,Failure,Bethesda Support,system
INC0452319,1,Failure,Bethesda Support,system
INC0398685,1,Failure,Bethesda Support,system
INC0395336,1,Service,Bethesda Support,system
INC0397340,1,Service,Bethesda Support,system
INC0413283,1,Failure,Bethesda Support,system
INC0407200,1,Business Application,Bethesda Support,system
INC0448009,1,Change/Enhancements,Bethesda Support,system
INC0399509,0,Failure,Bethesda Support,system
INC0425886,1,Failure,Bethesda Support,system
INC0461764,1,Failure,Bethesda Support,KEV24998
INC0460966,1,Failure,Bethesda Support,JAS19903
INC0443312,1,Service,Bethesda Support,system
INC0391602,1,Service,Bethesda Support,system
INC0417664,1,Failure,Bethesda Support,system
INC0463355,1,Business Application,Bethesda Support,MAR13389
INC0425926,1,Failure,Bethesda Support,system
INC0396357,1,Failure,Bethesda Support,system
INC0402889,1,Failure,Bethesda Support,system
INC0402847,1,Failure,Bethesda Support,system
INC0400213,1,Failure,Bethesda Support,system
INC0424948,1,Failure,Bethesda Support,system
INC0401371,1,Failure,Bethesda Support,system
INC0428905,1,Failure,Bethesda Support,system
INC0451975,1,Failure,Bethesda Support,system
INC0398997,1,Failure,Bethesda Support,system
INC0448668,1,Failure,Bethesda Support,system
INC0427534,1,Failure,Bethesda Support,system
INC0402616,1,Failure,Bethesda Support,system
INC0394956,0,Failure,Bethesda Support,system
INC0448755,1,Failure,Bethesda Support,system
INC0434873,1,Failure,Bethesda Support,system
INC0451295,1,Hardware,Bethesda Support,system
INC0442530,1,Hardware,Bethesda Support,system
INC0397414,0,Failure,Bethesda Support,system
INC0403083,1,Service,Bethesda Support,system
INC0449850,1,Failure,Bethesda Support,system
INC0464082,0,Failure,Bethesda Support,JAS19903
INC0424797,1,Failure,Bethesda Support,system
INC0458018,1,Failure,Bethesda Support,system
INC0450566,1,Failure,Bethesda Support,KEL11365
INC0438132,1,Failure,Bethesda Support,system
INC0422908,1,Business Application,Bethesda Support,system
INC0448517,1,Failure,Bethesda Support,system
INC0425191,1,Failure,Bethesda Support,system
INC0457504,1,Failure,Bethesda Support,system
INC0460391,1,Failure,Bethesda Support,MAR13389
INC0402846,0,Failure,Bethesda Support,system
INC0407278,1,Service,Bethesda Support,system
INC0408023,1,Business Application,Bethesda Support,system
INC0451742,1,Failure,Bethesda Support,system
INC0424453,1,Failure,Bethesda Support,system
INC0427147,1,Failure,Bethesda Support,system
INC0423434,1,Failure,Bethesda Support,system
INC0395302,0,Failure,Bethesda Support,system
INC0403147,1,Failure,Bethesda Support,system
INC0412243,1,Failure,Bethesda Support,system
INC0456357,1,Failure,Bethesda Support,system
INC0428536,0,Failure,Bethesda Support,system
INC0411126,1,Failure,Bethesda Support,system
INC0433615,1,Business Application,Bethesda Support,system
INC0418225,1,Failure,Bethesda Support,system
INC0442590,1,Failure,Bethesda Support,system
INC0406207,1,Failure,Bethesda Support,system
INC0423859,1,Hardware,Bethesda Support,system
INC0436001,1,Failure,Bethesda Support,system
INC0452292,1,Failure,Bethesda Support,system
INC0400980,1,Hardware,Bethesda Support,system
INC0447474,1,Failure,Bethesda Support,system
