number,config_item,location,child_incidents,channel,reassignment_count
INC0413460,Server Support,BHSF Corporate,0,Email,0
INC0451065,WZF57281705971,Miami Cancer Institute,0,Phone,3
INC0420275,Ascom,BHSF Corporate,0,Email,0
INC0429803,DDMSEPOAH3,BHSF Corporate,0,Email,1
INC0404269,Hardware Issue,Baptist Outpatient Services,0,Self-service,3
INC0419119,Server Support,BHSF Corporate,0,Email,0
INC0442014,WZ842AFD161267,BHMG North,0,Phone,5
INC0419796,DDMSCCNIIAPP01,BHSF Corporate,0,Email,0
INC0431772,WZ10E7C63D103C,Baptist Health Medical Group,0,Phone,4
INC0418328,Hardware Evaluation,BHSF Corporate,0,Email,0
INC0451442,Hardware Evaluation,BHSF Corporate,0,Email,0
INC0438354,Hardware Evaluation,BHSF Corporate,0,Email,0
INC0405818,Interface Issue,BHSF Corporate,0,Phone,3
INC0420907,DDMSPSV4,BHSF Corporate,0,Email,0
INC0428503,Hardware Lost/Stolen,Miami Cancer Institute,0,Walk-in,0
INC0410053,WZ10E7C624F276,FirstSource Solutions,0,Phone,3
INC0426125,STAR,BHSF Corporate,0,Phone,6
INC0433861,Print Server,"Bethesda Hospital, Inc",0,Chat,0
INC0414354,Windows Support,BHSF Corporate,0,Phone,3
INC0420473,DDMSPSV6,BHSF Corporate,0,Email,0
INC0447648,OneDrive,Boca Raton Regional Hospital,0,Phone,2
INC0461124,Hardware Evaluation,BHSF Corporate,0,Email,0
INC0408964,wm3e7fda77b304,BHSF Corporate,0,Phone,3
INC0428535,WZECB1D750AEDF,,0,Walk-in,0
INC0435913,WZ0068EBA45DE3,Boca Raton Regional Hospital,0,Phone,2
INC0406178,Hardware Evaluation,BHSF Corporate,0,Email,0
INC0410305,Yardi,Corporate,0,Email,0
INC0418611,Server Support,BHSF Corporate,0,Email,0
INC0451227,Hardware Evaluation,BHSF Corporate,0,Email,0
INC0402652,Aspen Breast,BHSF Corporate,0,Phone,0
INC0427224,Vestigo,Miami Cancer Institute,0,Phone,3
INC0418623,Server Support,BHSF Corporate,0,Email,0
INC0420508,DDMSPSV4,BHSF Corporate,0,Email,0
INC0392908,printserver,BHMG North,0,Self-service,4
INC0420997,DDMSEPODB2,BHSF Corporate,0,Email,0
INC0414332,WZ84A93E8AA0B5,BHSF Corporate,0,Email,0
INC0421272,WZE86A64B2C2DB,Baptist Hospital of Miami,0,Phone,0
INC0396801,wm849ff4e70aa6,BHSF Corporate,0,Email,0
INC0439514,IMAC - Install/Move/Add/Change,BHSF Corporate,0,Email,0
INC0426335,DDMSVRNTDB01,BHSF Corporate,0,Email,0
INC0418625,Server Support,BHSF Corporate,0,Email,0
INC0407424,Hardware Evaluation,BHSF Corporate,0,Email,0
INC0431279,Soarian Scheduling,Baptist Health Medical Group,0,Self-service,1
INC0397747,Oracle DBA Admin (DBA DBA's/Client/Security),BHSF Corporate,0,Self-service,0
INC0392456,Oracle DBA Admin (DBA DBA's/Client/Security),,0,Email,1
INC0422423,Access e-Signature  Forms,BHSF Corporate,0,Phone,3
INC0412186,DDMSPROVD2T,BHSF Corporate,0,Email,2
INC0404760,dduxpshcmd2p,BHSF Corporate,0,Email,1
INC0424725,Business Objects Enterprise,Baptist Hospital of Miami,0,Email,0
INC0391492,Oracle DBA Admin (DBA DBA's/Client/Security),BHSF Corporate,0,Chat,0
INC0443098,Ansos,BHSF Corporate,0,Email,2
INC0430033,Provider - Security Request,BHSF Corporate,1,Phone,1
INC0434632,Oracle DBA Admin (DBA DBA's/Client/Security),Corporate / Main / 1st Floor,0,Email,1
INC0422913,PeopleSoft - Technology (FSCM-CRM-BRF),BHSF Corporate,0,Email,0
INC0452392,dduxoimdb2p,BHSF Corporate,0,Email,1
INC0443875,dduxpshcmd1d,BHSF Corporate,0,Chat,0
INC0412873,Server Support,BHSF Corporate,0,Email,1
INC0440222,Oracle Centralized Cluster,BHSF Corporate,0,Self-service,0
INC0436823,dduxoimdb1p,BHSF Corporate,0,Email,1
INC0444427,dduxdwdb2p,BHSF Corporate,0,Chat,0
INC0449235,DDMSVSQL16,BHSF Corporate,0,Email,0
INC0429883,Chart Links,BHSF Corporate,0,Self-service,0
INC0452530,DDMSNEWSMDB1,BHSF Corporate,0,Self-service,0
INC0415786,JDA Parathon,BHSF Corporate,0,Self-service,1
INC0431392,BHMSGENDB1P,BHSF Corporate,0,Email,0
INC0417725,Pyxis ES-Bethesda,BHSF Corporate,0,Phone,0
INC0440952,DDMSECHOAV1,BHSF Corporate,0,Email,1
INC0401244,PACS Radiology Boca,BHSF Corporate,0,Chat,0
INC0442747,DDMSGENDBV1P,BHSF Corporate,0,Email,0
INC0404365,PACS Radiology Boca,BHSF Corporate,0,Email,0
INC0415635,DDMSEPSIDB1P,BHSF Corporate,0,Email,0
INC0446201,Aspen Breast,BHSF Corporate,0,Chat,0
INC0444138,DDMSVSQL16,BHSF Corporate,0,Self-service,0
INC0429809,DDMSWSUS1,BHSF Corporate,0,Email,1
INC0445068,WZ93648A1F8FE1,BHSF Corporate,0,Walk-in,1
INC0426289,DDMSSCCM2,BHSF Corporate,0,Email,0
INC0419768,DDMSSCCM1,BHSF Corporate,0,Email,0
INC0396567,bh19msgntdrw01p,BHSF Corporate,0,Email,0
INC0401287,WEB CTRL,BHSF Corporate,0,Email,0
INC0397459,dduxpsfind2d,BHSF Corporate,0,Email,0
INC0396487,Citrix,Boca Raton Regional Hospital,0,Phone,4
INC0395629,Genetec Security Center,BHSF Corporate,0,Email,0
INC0410763,Vulnerability Remediation,,0,Self-service,3
INC0410761,Vulnerability Remediation,,0,Self-service,3
INC0431512,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0438223,Outlook,BHSF Corporate,0,Phone,1
INC0461633,VMware Horizon,"Bethesda Hospital, Inc",0,Phone,1
INC0420154,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0418176,Imprivata OneSign Bethesda,"Bethesda Hospital, Inc",0,Phone,1
INC0428274,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,4
INC0460930,Hardware Support,"Bethesda Hospital, Inc",0,Self-service,1
INC0396583,,Bethesda Hospital East,0,Self-service,1
INC0420025,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,2
INC0452597,Hardware Issue,BHSF Corporate,0,Phone,1
INC0456659,Hardware Issue,Bethesda Service Center,0,Phone,2
INC0442040,,BHSF Corporate,0,Self-service,1
INC0456433,Imprivata OneSign Bethesda,Bethesda Hospital East,0,Phone,1
INC0435623,Hardware Issue,Bethesda Hospital East,0,Phone,2
INC0408702,eCOS - Sorian Clinicals,Bethesda Hospital East,0,Phone,1
INC0460495,Outlook,BHSF Corporate,0,Phone,0
INC0431151,eCOS - Sorian Clinicals,"Bethesda Hospital, Inc",0,Phone,1
INC0432844,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0400329,Desktop Authority,Bethesda Hospital East,0,Phone,3
INC0392118,Hardware Support,Bethesda Hospital East,0,Walk-in,0
INC0455514,RSA  Infrastructure,"Bethesda Hospital, Inc",0,Phone,1
INC0428363,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0395308,MAK-Bethesda,"Bethesda Hospital, Inc",0,Phone,5
INC0443859,Active Directory,"Bethesda Hospital, Inc",0,Phone,1
INC0427156,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0447526,RSA  Infrastructure,BHSF Corporate,0,Phone,1
INC0455249,,Bethesda Hospital East,0,Self-service,1
INC0408783,Hardware Issue,BHSF Corporate,0,Email,0
INC0459964,ITAM Software Installation,"Bethesda Hospital, Inc",0,Phone,1
INC0443915,VMware Horizon,Bethesda Hospital East,0,Phone,1
INC0440267,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0420691,Soarian Critical Care,"Bethesda Hospital, Inc",0,Phone,1
INC0405126,Active Directory,"Bethesda Hospital, Inc",0,Phone,3
INC0461592,Hardware Support,Bethesda Hospital East,0,Self-service,1
INC0449302,VMware Horizon,"Bethesda Hospital, Inc",0,Self-service,1
INC0417779,Hardware Issue,BHMG North,0,Phone,1
INC0423085,eCOS - Sorian Clinicals,"Bethesda Hospital, Inc",0,Phone,1
INC0434435,Hardware Support,BHMG North,0,Self-service,1
INC0445191,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0417400,Password Reset,BHMG North,0,Phone,2
INC0444536,Imprivata OneSign Bethesda,Baptist Outpatient Services,0,Self-service,6
INC0462451,All Computers,"Bethesda Hospital, Inc",0,Phone,0
INC0442974,Hardware Support,"Bethesda Hospital, Inc",0,Self-service,1
INC0426340,Hardware Support,Bethesda Hospital East,0,Self-service,1
INC0461126,fastpass,"Bethesda Hospital, Inc",0,Self-service,2
INC0419031,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0449026,SoftLab\SoftMic,"Bethesda Hospital, Inc",0,Phone,2
INC0429215,WZ8284F311D464,Bethesda Hospital East,1,Phone,1
INC0436383,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0439582,Active Directory,"Bethesda Hospital, Inc",0,Phone,1
INC0406415,,Boca Raton Regional Hospital,0,Self-service,1
INC0451417,eCOS - Sorian Clinicals,"Bethesda Hospital, Inc",0,Phone,1
INC0432542,Imprivata OneSign Bethesda,"Bethesda Hospital, Inc",0,Phone,1
INC0457679,Hardware Support,"Bethesda Hospital, Inc",0,Self-service,1
INC0420214,Hardware Issue,,5,Phone,2
INC0435558,Imprivata OneSign Bethesda,"Bethesda Hospital, Inc",0,Phone,2
INC0417660,intranet,"Bethesda Hospital, Inc",0,Phone,1
INC0395782,30J213801109 - GX420D,"Bethesda Hospital, Inc",0,Phone,1
INC0423360,Imprivata OneSign Bethesda,"Bethesda Hospital, Inc",0,Phone,1
INC0435649,Cerner Millennium,"Bethesda Hospital, Inc",0,Phone,2
INC0420238,Windows Support,BHSF Corporate,0,Phone,2
INC0394839,WZ1A1CC29B49A0,"Bethesda Hospital, Inc",0,Phone,1
INC0403711,Active Directory,"Bethesda Hospital, Inc",0,Phone,1
INC0397347,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0432276,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0461415,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,0
INC0419814,Outlook,Bethesda Hospital East,0,Phone,1
INC0394935,WZ5405DB75A1EA,"Bethesda Hospital, Inc",0,Phone,1
INC0450137,fastpass,"Bethesda Hospital, Inc",0,Self-service,1
INC0404783,MAK-Bethesda,"Bethesda Hospital, Inc",0,Phone,1
INC0430248,Hardware Issue,Bethesda Hospital East,0,Self-service,1
INC0440303,VMware Horizon,,0,Phone,1
INC0446959,eCOS - Sorian Clinicals,"Bethesda Hospital, Inc",0,Phone,1
INC0412968,Password Reset,"Bethesda Hospital, Inc",0,Phone,1
INC0451468,,Bethesda Hospital East,0,Self-service,1
INC0417666,WZ98FA9B6A53C0,BHSF Corporate,0,Phone,1
INC0397410,Hardware Support,"Bethesda Hospital, Inc",0,Self-service,1
INC0426045,eCOS - Sorian Clinicals,Bethesda Hospital East,0,Phone,1
INC0452747,Hardware Issue,,0,Phone,2
INC0405835,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,3
INC0452167,Soarian Clinicals,Bethesda Hospital East,0,Self-service,2
INC0432450,PICIS Surgical Services Suite,"Bethesda Hospital, Inc",0,Phone,1
INC0434160,Active Directory,"Bethesda Hospital, Inc",0,Phone,1
INC0457898,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0397356,Imprivata Access,Bethesda Hospital West,0,Phone,1
INC0442349,MFA,Bethesda Hospital East,0,Self-service,1
INC0410527,Hardware Issue,,0,Chat,0
INC0463023,VMware Horizon,BHSF Corporate,0,Phone,1
INC0449549,Invision Registration,,0,Virtual Agent,1
INC0449495,Hardware Issue,Bethesda Hospital East,0,Phone,1
INC0440503,WZ98577BBECDA7,"Bethesda Hospital, Inc",0,Phone,2
INC0428648,Password Reset,"Bethesda Hospital, Inc",0,Phone,3
INC0441472,printserver,"Bethesda Hospital, Inc",0,Self-service,1
INC0397348,Imprivata OneSign Bethesda,"Bethesda Hospital, Inc",0,Phone,1
INC0402153,Hardware Issue,BHSF Corporate,0,Phone,3
INC0402729,Outlook,Bethesda Hospital East,0,Self-service,1
INC0434420,Hardware Issue,Bethesda Health City / Main / 1st Floor,0,Self-service,2
INC0404637,Hardware Issue,BHSF Corporate,1,Self-service,1
INC0428320,Active Directory,"Bethesda Hospital, Inc",0,Self-service,1
INC0396060,WZC85ACF78E0D0,"Bethesda Hospital, Inc",0,Phone,0
INC0401176,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0449405,Hardware Issue,Bethesda Hospital East,0,Chat,0
INC0399396,eCOS - Sorian Clinicals,,11,Phone,2
INC0440904,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0393199,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0448406,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0450313,Outlook,"Bethesda Hospital, Inc",0,Self-service,1
INC0401737,VMware Horizon,"Bethesda Hospital, Inc",0,Phone,1
INC0442745,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0451558,Active Directory,Bethesda Hospital East,0,Phone,1
INC0417767,Hardware Issue,Bethesda Hospital East,0,Self-service,1
INC0424343,Provider - Application Issue,,0,Phone,0
INC0441710,,BHSF Corporate,0,Self-service,1
INC0392817,Hardware Issue,BHSF Corporate,0,Self-service,2
INC0441566,Imprivata OneSign Bethesda,Bethesda Hospital East,1,Phone,1
INC0433560,Hardware Support,"Bethesda Hospital, Inc",0,Self-service,1
INC0435704,VMware Horizon,Baptist Health South Florida,0,Phone,2
INC0420236,Hardware Issue,Bethesda Hospital East,0,Phone,2
INC0409020,Hardware Support,Bethesda Hospital East,0,Self-service,1
INC0402867,VMware Horizon,,0,Phone,1
INC0459080,Invision Registration,,0,Virtual Agent,1
INC0462684,Active Directory,"Bethesda Hospital, Inc",0,Phone,1
INC0413077,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,2
INC0397638,VMware Horizon,BHMG North,0,Phone,1
INC0459798,c2cqlikview,"Bethesda Hospital, Inc",0,Phone,1
INC0392252,Active Directory,"Bethesda Hospital, Inc",0,Phone,2
INC0415627,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0460340,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0403659,Cerner PowerChart Touch,,0,Phone,4
INC0461161,Hardware Issue,Bethesda East,0,Self-service,1
INC0461634,VMware Horizon,BHSF Corporate,0,Phone,1
INC0428096,printserver,BHSF Corporate,0,Self-service,1
INC0418298,Password Reset,,0,Phone,1
INC0436128,Active Directory,"Bethesda Hospital, Inc",0,Phone,1
INC0393668,VPN,"Bethesda Hospital, Inc",0,Self-service,1
INC0448561,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0406126,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0462654,VMware Horizon,BHSF Corporate,0,Phone,1
INC0399158,eCOS - Sorian Clinicals,"Bethesda Hospital, Inc",0,Phone,1
INC0440854,Hardware Issue,BHSF Corporate,0,Phone,1
INC0451396,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0425352,Invision Registration,BHSF Corporate,0,Phone,1
INC0403350,eCOS - Sorian Clinicals,,0,Phone,1
INC0443188,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0444665,Outlook,"Bethesda Hospital, Inc",0,Phone,1
INC0404002,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,2
INC0423490,bheldor004,,0,Phone,2
INC0433911,QS1 Bethesda,"Bethesda Hospital, Inc",0,Chat,0
INC0420337,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0438097,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0445336,MobiLab Bethesda,"Bethesda Hospital, Inc",0,Phone,1
INC0460738,Security Request,"Bethesda Hospital, Inc",0,Self-service,1
INC0429099,Invision-RTIF Programs,"Bethesda Hospital, Inc",0,Phone,1
INC0458413,Hardware Issue,BHMG North,0,Phone,3
INC0422897,MobiLab Bethesda,"Bethesda Hospital, Inc",0,Self-service,1
INC0426559,Hardware Support,Bethesda Hospital East,0,Self-service,1
INC0402850,VMware Horizon,"Bethesda Hospital, Inc",0,Phone,1
INC0411223,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0438800,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,2
INC0442629,Print Server,"Bethesda Hospital, Inc",0,Phone,2
INC0399012,VMware Horizon,BHMG North,0,Phone,1
INC0401735,VMware Horizon,BHSF Corporate,1,Phone,1
INC0399938,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0460920,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0452283,Hardware Issue,BHSF Corporate,0,Walk-in,0
INC0415189,WZ498DD4ACB9FD,"Bethesda Hospital, Inc",0,Phone,1
INC0397519,Password Reset,"Bethesda Hospital, Inc",0,Self-service,1
INC0397488,Password Reset,BHSF Corporate,0,Self-service,2
INC0424408,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0437201,printserver,BHSF Corporate,0,Self-service,1
INC0433827,Centricity Bethesda,"Bethesda Hospital, Inc",0,Phone,1
INC0443504,MAK-Bethesda,"Bethesda Hospital, Inc",0,Phone,1
INC0403154,Provider - Application Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0434321,Provider - Application Issue,"Bethesda Hospital, Inc",0,Self-service,3
INC0446889,Hardware Support,"Bethesda Hospital, Inc",0,Phone,1
INC0392343,Hardware Issue,Bethesda Hospital East,0,Phone,3
INC0411756,MAK-Bethesda,,0,Phone,2
INC0429949,Bethesda Invision SUT,BHSF Corporate,0,Phone,1
INC0426379,VMware Horizon,,0,Phone,2
INC0433127,Hardware Issue,Bethesda Hospital East,0,Self-service,1
INC0444030,Bethesda Invision SUT,BHSF Corporate,0,Phone,1
INC0447333,Outlook,"Bethesda Hospital, Inc",0,Phone,1
INC0408634,Print Server,Baptist Outpatient Services,0,Phone,2
INC0448740,Active Directory,"Bethesda Hospital, Inc",0,Phone,1
INC0397748,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0417928,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,2
INC0431649,Hardware Issue,"Bethesda Hospital, Inc",1,Self-service,1
INC0462062,Hardware Support,BHSF Corporate,0,Self-service,2
INC0432964,VMware Horizon,BHSF Corporate,0,Phone,1
INC0437872,WZ498DD4ACB9FD,"Bethesda Hospital, Inc",0,Phone,2
INC0432768,Hardware Issue,Bethesda Hospital East,0,Self-service,1
INC0439356,Hardware Issue,BHMG North,0,Phone,0
INC0391561,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,2
INC0463241,Hardware Support,BHMG North,0,Self-service,1
INC0392666,,Bethesda Hospital East,0,Self-service,1
INC0440913,OAS Gold - BEPA,"Bethesda Hospital, Inc",0,Phone,1
INC0425664,Invision Registration,BHSF Corporate,0,Phone,1
INC0394929,,Bethesda Hospital East,0,Self-service,1
INC0442933,Invision Registration,BHSF Corporate,0,Phone,1
INC0402347,printserver,"Bethesda Hospital, Inc",0,Self-service,1
INC0425213,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0420234,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0441225,Hardware Issue,Bethesda Hospital East,0,Self-service,1
INC0395346,eCOS - Sorian Clinicals,Baptist Health South Florida,0,Phone,2
INC0441274,MAK-Bethesda,"Bethesda Hospital, Inc",0,Phone,3
INC0420353,Provider - Hardware Support,"Bethesda Hospital, Inc",0,Self-service,3
INC0396313,WZC0180382FF85,BHMG North,0,Phone,4
INC0438743,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0431181,Hardware Issue,,0,Walk-in,0
INC0460567,VMware Horizon,"Bethesda Hospital, Inc",0,Phone,3
INC0416455,WZ4B2788E5CF54,"Bethesda Hospital, Inc",0,Phone,1
INC0394407,Hardware Support,Bethesda Hospital East,0,Self-service,1
INC0434727,Hardware Issue,"Bethesda Hospital, Inc",0,Walk-in,0
INC0408394,Hardware Issue,BHSF Corporate,0,Chat,0
INC0430788,VMware Horizon,"Bethesda Hospital, Inc",0,Phone,1
INC0417340,Imprivata OneSign Bethesda,"Bethesda Hospital, Inc",0,Phone,1
INC0416082,6CM9191HJC - Z22N G2,"Bethesda Hospital, Inc",0,Phone,3
INC0457901,c2cqlikview,Bethesda Hospital East,0,Phone,1
INC0400819,Hardware Support,"Bethesda Hospital, Inc",0,Phone,2
INC0427981,Hardware Issue,Bethesda Hospital East,0,Phone,1
INC0449489,5WQ58N3 - 24 Monitor,Bethesda Hospital East,0,Phone,1
INC0455904,Hardware Issue,"Bethesda Hospital, Inc",0,Self-service,1
INC0426046,Cerner Millennium,"Bethesda Hospital, Inc",0,Phone,1
INC0408466,Password Reset,,0,Phone,1
INC0413804,WZ98FA9B552A03,Boca Raton Regional Hospital,0,Phone,2
INC0417160,printserver,"Bethesda Hospital, Inc",0,Self-service,1
INC0443761,Outlook,BHSF Corporate,0,Phone,1
INC0430636,CareLogistics,Bethesda Hospital East,0,Phone,1
INC0413678,Hardware Support,BHMG North,0,Self-service,1
INC0397346,Hardware Issue,"Bethesda Hospital, Inc",0,Phone,1
INC0392114,Hardware Issue,Bethesda Hospital East,0,Walk-in,0
INC0463995,VMware Horizon,BHMG North,0,Phone,1
INC0430906,Cerner Millennium,"Bethesda Hospital, Inc",0,Phone,2
INC0417364,WZ8C8CAA683793,Bethesda Hospital East,1,Phone,1
